,,,2,3,2,3,,,,,,,
Content ID,Type,Datetime,ContentType,Category,Sentiment,Score,,,,,,,
07f88a73-aef2-45fd-8b5d-418e448b853d,cherish,12-03-2021 16:22,GIF,Animals,positive,70,,,,,,,
07f88a73-aef2-45fd-8b5d-418e448b853d,intrigued,17-10-2020 10:20,GIF,Animals,positive,45,,,,,,,
07f88a73-aef2-45fd-8b5d-418e448b853d,like,19-12-2020 16:42,GIF,Animals,positive,50,,,,,,Animal  ,74965
07f88a73-aef2-45fd-8b5d-418e448b853d,love,31-05-2021 05:46,GIF,Animals,positive,65,,,,,,science,71168
07f88a73-aef2-45fd-8b5d-418e448b853d,hate,27-12-2020 03:37,GIF,Animals,negative,5,,,,,,healthy eating,69339
07f88a73-aef2-45fd-8b5d-418e448b853d,scared,24-05-2021 20:32,GIF,Animals,negative,15,,,,,,technology,68738
07f88a73-aef2-45fd-8b5d-418e448b853d,hate,19-01-2021 22:28,GIF,Animals,negative,5,,,,,,food,66676
07f88a73-aef2-45fd-8b5d-418e448b853d,cherish,02-03-2021 14:45,GIF,Animals,positive,70,,,,,,culture ,0
07f88a73-aef2-45fd-8b5d-418e448b853d,adore,12-02-2021 16:37,GIF,Animals,positive,72,,,,,,travel,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,cherish,18-04-2021 19:52,audio,animals,positive,70,,,,,,Cooking ,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,indifferent,25-05-2021 13:39,audio,animals,neutral,20,,,,,,soccer,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,dislike,13-04-2021 04:44,audio,animals,negative,10,,,,,,education,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,heart,07-09-2020 15:12,audio,animals,positive,60,,,,,,fitness,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,indifferent,30-04-2021 19:43,audio,animals,neutral,20,,,,,,studying,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,heart,24-04-2021 12:10,audio,animals,positive,60,,,,,,dogs,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,interested,26-07-2020 02:20,audio,animals,positive,30,,,,,,tennis,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,adore,06-09-2020 09:22,audio,animals,positive,72,,,,,,veganism =,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,disgust,08-09-2020 15:30,audio,animals,negative,0,,,,,,public speaking,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,peeking,26-07-2020 06:28,audio,animals,neutral,35,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,like,26-07-2020 17:43,audio,animals,positive,50,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,dislike,07-12-2020 07:49,audio,animals,negative,10,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,dislike,03-05-2021 02:36,audio,animals,negative,10,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,love,19-02-2021 03:09,audio,animals,positive,65,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,indifferent,27-01-2021 01:27,audio,animals,neutral,20,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,cherish,14-11-2020 01:27,audio,animals,positive,70,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,worried,06-07-2020 05:30,audio,animals,negative,12,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,cherish,16-08-2020 19:30,audio,animals,positive,70,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,hate,22-01-2021 21:05,audio,animals,negative,5,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,want,05-10-2020 00:00,audio,animals,positive,70,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,like,16-02-2021 02:10,audio,animals,positive,50,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,intrigued,14-10-2020 08:12,audio,animals,positive,45,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,scared,30-10-2020 06:51,audio,animals,negative,15,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,interested,04-01-2021 16:17,audio,animals,positive,30,,,,,,,
4fa14453-7b29-4302-b51f-9aa23b472c1b,dislike,19-10-2020 19:31,audio,animals,negative,10,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,worried,29-07-2020 20:23,audio,animals,negative,12,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,hate,15-07-2020 03:34,audio,animals,negative,5,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,dislike,20-09-2020 07:23,audio,animals,negative,10,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,super love,10-10-2020 12:25,audio,animals,positive,75,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,like,26-12-2020 18:29,audio,animals,positive,50,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,interested,31-10-2020 12:10,audio,animals,positive,30,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,interested,21-09-2020 12:16,audio,animals,positive,30,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,interested,09-05-2021 05:10,audio,animals,positive,30,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,love,29-09-2020 23:50,audio,animals,positive,65,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,disgust,05-07-2020 20:02,audio,animals,negative,0,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,super love,25-06-2020 08:02,audio,animals,positive,75,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,cherish,03-11-2020 21:53,audio,animals,positive,70,,,,,,,
4478d98e-43e8-4dc0-884d-c1115aa8b970,hate,04-03-2021 18:10,audio,animals,negative,5,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,like,27-10-2020 08:50,GIF,animals,positive,50,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,love,27-06-2020 21:44,GIF,animals,positive,65,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,scared,11-09-2020 20:32,GIF,animals,negative,15,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,peeking,15-06-2021 18:21,GIF,animals,neutral,35,,,,,,,
2d0926be-9a29-4e6c-b342-815c70172214,dislike,15-09-2020 22:46,GIF,animals,negative,10,,,,,,,
